Temps (en s),Position (en mm),Force (en kN),Inclinaison (en °),Pressure (en bar),AIO1 (50mm) (en mm),AIO3 (Temp Ch) (en °C),AIO4 (100mm) (en mm),AIO5(50mm) (en mm),AIO6(100mm) (en mm),Angle (body) (en °),angle (riser) (en °),
107.7600,389.32,-69.52,-0.972,93.7,-2.47,62.0,-6.19,-5.98,-10.82,-0.483,-9.188,
107.7700,389.04,-69.37,-0.987,93.0,-0.79,62.5,-3.12,-5.05,-8.97,-0.431,-9.175,
107.7800,388.82,-69.21,-0.980,93.1,-2.45,62.1,-6.16,-5.97,-10.80,-0.484,-9.128,
107.7900,388.35,-68.66,-0.995,93.6,-0.80,62.5,-3.15,-5.07,-9.01,-0.432,-9.122,
107.8000,388.11,-68.33,-0.981,93.0,-2.48,62.0,-6.17,-5.98,-10.82,-0.484,-9.098,
107.8100,387.91,-68.08,-1.002,93.3,-0.79,62.2,-3.10,-5.06,-8.97,-0.431,-9.087,
107.8200,387.63,-67.66,-0.981,93.4,-2.47,61.7,-6.17,-5.97,-10.80,-0.484,-9.079,
107.8300,387.49,-67.50,-1.005,93.1,-0.78,62.1,-3.11,-5.05,-8.97,-0.431,-9.077,
107.8400,387.10,-67.26,-0.991,93.2,-2.47,61.6,-6.17,-5.97,-10.81,-0.483,-9.075,
107.8500,386.74,-67.38,-1.003,93.1,-0.78,62.1,-3.11,-5.05,-8.98,-0.431,-9.073,
107.8600,386.39,-66.99,-0.992,93.0,-2.47,61.7,-6.16,-5.97,-10.80,-0.483,-9.062,
107.8700,386.13,-66.93,-1.004,93.7,-0.79,62.1,-3.13,-5.06,-8.99,-0.433,-9.070,
107.8800,385.66,-66.83,-0.992,92.9,-2.46,61.7,-6.15,-5.97,-10.80,-0.485,-9.064,
107.8900,385.33,-66.96,-1.011,93.2,-0.79,62.1,-3.12,-5.07,-8.99,-0.433,-9.079,
107.9000,385.16,-66.99,-0.987,93.2,-2.46,61.7,-6.15,-5.96,-10.80,-0.484,-9.081,
107.9100,384.87,-66.77,-1.009,93.0,-0.79,62.1,-3.13,-5.06,-9.00,-0.433,-9.085,
107.9200,384.54,-66.25,-1.002,92.9,-2.47,61.6,-6.15,-5.96,-10.80,-0.483,-9.088,
107.9300,384.32,-65.98,-1.009,93.1,-0.78,62.3,-3.13,-5.07,-9.00,-0.434,-9.073,
107.9400,383.88,-65.95,-0.992,92.7,-2.47,62.0,-6.15,-5.96,-10.78,-0.483,-9.056,
107.9500,383.48,-66.16,-1.006,93.1,-0.79,62.5,-3.15,-5.07,-9.00,-0.432,-9.056,
107.9600,383.26,-65.98,-0.993,93.1,-2.45,62.1,-6.09,-5.96,-10.77,-0.483,-9.045,
107.9700,382.73,-65.70,-1.017,92.6,-0.80,62.5,-3.16,-5.08,-9.01,-0.432,-9.024,
107.9800,382.29,-65.43,-1.003,93.4,-2.46,61.9,-6.12,-5.96,-10.79,-0.483,-9.006,
107.9900,381.92,-65.12,-1.019,93.3,-0.81,62.2,-3.17,-5.08,-9.01,-0.432,-8.962,
108.0000,381.74,-65.06,-1.013,93.0,-2.44,61.9,-6.13,-5.97,-10.79,-0.483,-8.927,
108.0100,381.30,-64.76,-1.025,93.2,-0.81,62.2,-3.18,-5.08,-9.02,-0.432,-8.912,
108.0200,380.91,-64.54,-1.018,92.5,-2.45,61.8,-6.14,-5.96,-10.79,-0.483,-8.874,
108.0300,380.66,-64.00,-1.041,93.8,-0.80,62.2,-3.15,-5.07,-9.01,-0.431,-8.855,
108.0400,380.24,-63.63,-1.027,93.5,-2.46,61.8,-6.12,-5.96,-10.79,-0.482,-8.823,
108.0500,379.93,-63.17,-1.057,93.0,-0.80,62.2,-3.15,-5.07,-9.01,-0.432,-8.804,
108.0600,379.41,-63.08,-1.037,93.1,-2.45,61.9,-6.13,-5.96,-10.78,-0.484,-8.774,
108.0700,379.12,-62.99,-1.070,93.0,-0.81,61.9,-3.18,-5.08,-9.03,-0.432,-8.742,
108.0800,379.10,-62.74,-1.042,93.5,-2.45,61.5,-6.11,-5.95,-10.77,-0.483,-8.729,
108.0900,378.90,-61.77,-1.063,92.7,-0.81,61.9,-3.16,-5.08,-9.02,-0.432,-8.703,
108.1000,378.39,-61.22,-1.047,93.5,-2.45,61.5,-6.12,-5.96,-10.78,-0.482,-8.678,
108.1100,377.97,-60.91,-1.083,93.2,-0.81,62.4,-3.16,-5.08,-9.02,-0.431,-8.665,
108.1200,377.67,-60.88,-1.056,92.8,-2.45,62.1,-6.12,-5.96,-10.78,-0.483,-8.657,
108.1300,377.29,-60.97,-1.080,93.2,-0.79,62.6,-3.16,-5.08,-9.02,-0.432,-8.648,
108.1400,376.90,-60.12,-1.058,93.0,-2.46,62.0,-6.12,-5.96,-10.78,-0.482,-8.625,
108.1500,376.74,-59.60,-1.085,93.3,-0.80,62.5,-3.17,-5.08,-9.03,-0.432,-8.629,
108.1600,376.35,-59.33,-1.059,92.9,-2.45,62.1,-6.08,-5.95,-10.75,-0.483,-8.622,
108.1700,375.84,-59.48,-1.081,93.4,-0.81,62.5,-3.21,-5.09,-9.05,-0.432,-8.625,
108.1800,375.46,-59.51,-1.069,93.2,-2.44,62.1,-6.11,-5.95,-10.77,-0.483,-8.616,
108.1900,375.02,-59.33,-1.089,93.1,-0.82,62.4,-3.20,-5.09,-9.03,-0.433,-8.620,
108.2000,374.69,-59.11,-1.067,92.9,-2.45,61.9,-6.10,-5.94,-10.77,-0.483,-8.618,
108.2100,374.32,-58.72,-1.136,93.0,-0.80,62.4,-3.18,-5.09,-9.02,-0.432,-8.610,
108.2200,373.86,-58.90,-1.064,93.4,-2.45,61.9,-6.09,-5.95,-10.76,-0.482,-8.603,
108.2300,373.50,-59.02,-1.093,93.2,-0.81,62.4,-3.17,-5.09,-9.03,-0.432,-8.586,
108.2400,373.08,-59.48,-1.065,93.4,-2.44,61.9,-6.07,-5.95,-10.77,-0.482,-8.569,
108.2500,372.86,-59.45,-1.092,93.1,-0.81,62.3,-3.20,-5.09,-9.03,-0.433,-8.558,
108.2600,372.44,-59.14,-1.076,93.0,-2.44,62.0,-6.09,-5.95,-10.75,-0.483,-8.528,
108.2700,371.91,-58.53,-1.107,92.8,-0.82,62.3,-3.21,-5.09,-9.05,-0.433,-8.507,
108.2800,371.61,-58.35,-1.077,93.1,-2.44,61.6,-6.09,-5.94,-10.76,-0.483,-8.484,
108.2900,371.23,-58.44,-1.113,93.0,-0.82,61.9,-3.17,-5.08,-9.02,-0.433,-8.450,
108.3000,370.66,-58.35,-1.080,93.7,-2.44,61.5,-6.10,-5.95,-10.75,-0.483,-8.428,
108.3100,370.31,-57.86,-1.125,92.6,-0.82,61.8,-3.22,-5.09,-9.02,-0.432,-8.392,
108.3200,369.96,-57.34,-1.100,92.7,-2.45,61.6,-6.08,-5.94,-10.76,-0.482,-8.371,
108.3300,369.54,-56.82,-1.139,93.0,-0.81,62.3,-3.19,-5.08,-9.02,-0.432,-8.315,
108.3400,369.31,-56.61,-1.111,93.3,-2.45,61.9,-6.09,-5.94,-10.75,-0.483,-8.283,
108.3500,368.98,-56.00,-1.143,93.2,-0.82,62.3,-3.21,-5.09,-9.04,-0.433,-8.247,
108.3600,368.32,-55.63,-1.125,93.4,-2.43,62.0,-6.09,-5.94,-10.75,-0.483,-8.210,
108.3700,367.84,-55.05,-1.159,93.3,-0.83,62.3,-3.23,-5.10,-9.05,-0.434,-8.185,
108.3800,367.57,-54.60,-1.128,92.7,-2.43,62.0,-6.09,-5.94,-10.74,-0.483,-8.142,
108.3900,367.22,-54.05,-1.168,92.9,-0.81,62.3,-3.18,-5.10,-9.06,-0.433,-8.144,
108.4000,366.65,-53.65,-1.137,92.9,-2.45,61.9,-6.08,-5.94,-10.74,-0.482,-8.130,
108.4100,366.27,-53.34,-1.173,93.2,-0.81,62.4,-3.20,-5.10,-9.05,-0.433,-8.115,
108.4200,365.84,-53.07,-1.131,93.4,-2.45,62.0,-6.09,-5.94,-10.74,-0.482,-8.100,
108.4300,365.61,-52.89,-1.172,92.9,-0.82,62.5,-3.23,-5.10,-9.05,-0.433,-8.085,
108.4400,365.04,-52.61,-1.146,93.2,-2.43,62.1,-6.07,-5.93,-10.73,-0.483,-8.093,
108.4500,364.67,-52.40,-1.183,92.7,-0.82,62.0,-3.21,-5.10,-9.04,-0.434,-8.091,
108.4600,364.00,-52.34,-1.145,93.0,-2.44,61.5,-6.05,-5.94,-10.74,-0.483,-8.083,
108.4700,363.45,-52.34,-1.181,93.4,-0.81,62.0,-3.21,-5.10,-9.05,-0.433,-8.089,
108.4800,363.13,-52.70,-1.136,93.0,-2.43,61.5,-6.07,-5.93,-10.73,-0.481,-8.074,
108.4900,362.70,-52.52,-1.195,92.3,-0.83,61.9,-3.24,-5.10,-9.06,-0.433,-8.082,
108.5000,362.38,-52.37,-1.147,92.8,-2.44,61.5,-6.09,-5.94,-10.73,-0.481,-8.063,
108.5100,361.83,-52.19,-1.173,93.4,-0.82,61.8,-3.22,-5.10,-9.06,-0.432,-8.063,
108.5200,361.32,-52.31,-1.156,92.3,-2.44,61.5,-6.07,-5.93,-10.74,-0.482,-8.055,
108.5300,361.03,-52.61,-1.191,93.5,-0.82,62.0,-3.23,-5.10,-9.06,-0.433,-8.046,
108.5400,361.03,-52.37,-1.157,93.1,-2.44,61.8,-6.06,-5.93,-10.73,-0.482,-8.029,
108.5500,360.59,-51.97,-1.199,93.3,-0.83,62.2,-3.25,-5.11,-9.07,-0.434,-8.004,
108.5600,359.80,-51.51,-1.158,93.1,-2.42,61.9,-6.07,-5.93,-10.71,-0.482,-7.980,
108.5700,359.29,-51.48,-1.207,93.2,-0.82,62.2,-3.23,-5.11,-9.07,-0.434,-7.963,
108.5800,359.03,-51.64,-1.165,92.3,-2.43,62.0,-6.06,-5.93,-10.72,-0.482,-7.942,
108.5900,358.48,-51.18,-1.210,93.2,-0.82,62.5,-3.24,-5.11,-9.07,-0.433,-7.910,
108.6000,358.17,-50.75,-1.184,93.4,-2.44,62.1,-6.05,-5.93,-10.71,-0.482,-7.869,
108.6100,357.79,-49.80,-1.220,92.8,-0.83,62.5,-3.26,-5.12,-9.09,-0.433,-7.843,
108.6200,357.37,-49.41,-1.192,92.6,-2.42,62.1,-6.06,-5.92,-10.71,-0.481,-7.797,
108.6300,356.96,-49.26,-1.235,93.2,-0.82,62.5,-3.24,-5.11,-9.06,-0.433,-7.786,
108.6400,356.52,-48.89,-1.196,93.0,-2.43,62.1,-6.04,-5.93,-10.71,-0.482,-7.750,
108.6500,355.94,-48.31,-1.243,92.8,-0.83,62.5,-3.24,-5.10,-9.08,-0.433,-7.716,
108.6600,355.33,-47.64,-1.205,92.9,-2.43,62.1,-6.05,-5.93,-10.72,-0.482,-7.656,
108.6700,354.97,-47.52,-1.261,92.7,-0.83,62.1,-3.26,-5.11,-9.09,-0.433,-7.634,
108.6800,354.62,-47.33,-1.216,92.8,-2.40,61.7,-6.04,-5.91,-10.68,-0.481,-7.600,
108.6900,354.00,-47.18,-1.263,93.4,-0.83,62.1,-3.26,-5.11,-9.09,-0.433,-7.581,
108.7000,353.70,-47.30,-1.219,92.4,-2.42,61.7,-6.04,-5.92,-10.71,-0.480,-7.545,
108.7100,353.32,-47.00,-1.268,93.1,-0.82,62.1,-3.23,-5.11,-9.07,-0.433,-7.538,
108.7200,352.75,-46.60,-1.235,93.0,-2.43,61.6,-6.05,-5.92,-10.71,-0.482,-7.521,
108.7300,352.31,-46.08,-1.278,92.6,-0.83,62.1,-3.26,-5.12,-9.08,-0.433,-7.504,
108.7400,351.80,-46.33,-1.235,93.2,-2.41,61.8,-6.04,-5.93,-10.70,-0.482,-7.485,
108.7500,351.20,-46.66,-1.284,93.1,-0.83,62.0,-3.27,-5.11,-9.09,-0.434,-7.479,
108.7600,350.76,-46.45,-1.236,92.3,-2.42,61.7,-6.05,-5.92,-10.70,-0.482,-7.466,
108.7700,350.28,-46.14,-1.290,93.2,-0.84,62.0,-3.27,-5.12,-9.11,-0.434,-7.459,
108.7800,349.79,-45.81,-1.240,92.9,-2.42,61.6,-6.01,-5.91,-10.68,-0.482,-7.449,
108.7900,349.35,-45.81,-1.298,92.9,-0.84,62.3,-3.29,-5.13,-9.12,-0.434,-7.442,
108.8000,349.18,-45.90,-1.241,93.1,-2.40,62.1,-6.03,-5.92,-10.70,-0.482,-7.425,
108.8100,348.50,-45.81,-1.295,93.5,-0.83,62.5,-3.25,-5.11,-9.09,-0.433,-7.417,
108.8200,348.16,-45.38,-1.256,92.6,-2.43,62.0,-6.04,-5.92,-10.69,-0.482,-7.402,
108.8300,347.63,-45.01,-1.307,92.5,-0.83,62.5,-3.27,-5.12,-9.10,-0.434,-7.383,
108.8400,347.00,-44.71,-1.261,92.9,-2.42,62.0,-6.02,-5.91,-10.69,-0.483,-7.370,
108.8500,346.51,-44.46,-1.313,93.1,-0.85,62.4,-3.28,-5.13,-9.11,-0.434,-7.346,
108.8600,346.07,-44.37,-1.262,92.6,-2.42,62.1,-6.01,-5.91,-10.69,-0.483,-7.306,
108.8700,345.61,-44.16,-1.318,93.1,-0.84,62.5,-3.30,-5.13,-9.12,-0.434,-7.295,
108.8800,345.03,-43.73,-1.269,92.6,-2.42,61.8,-5.99,-5.90,-10.67,-0.481,-7.268,
108.8900,344.68,-43.24,-1.325,93.2,-0.84,62.2,-3.31,-5.13,-9.13,-0.434,-7.242,
108.9000,344.18,-42.97,-1.283,93.0,-2.41,61.7,-5.98,-5.90,-10.66,-0.481,-7.216,
108.9100,343.63,-42.85,-1.339,93.0,-0.84,62.2,-3.28,-5.13,-9.12,-0.434,-7.189,
108.9200,343.14,-42.76,-1.290,92.6,-2.43,61.7,-6.02,-5.91,-10.69,-0.481,-7.152,
108.9300,342.66,-42.48,-1.346,92.7,-0.83,62.1,-3.26,-5.13,-9.10,-0.434,-7.131,
108.9400,342.00,-42.05,-1.306,92.6,-2.42,61.6,-5.98,-5.92,-10.69,-0.481,-7.105,
108.9500,341.46,-41.72,-1.358,92.6,-0.84,62.1,-3.29,-5.13,-9.12,-0.434,-7.077,
108.9600,341.03,-41.47,-1.304,93.0,-2.42,61.6,-6.00,-5.91,-10.68,-0.482,-7.052,
108.9700,340.26,-41.26,-1.360,93.1,-0.85,62.2,-3.31,-5.14,-9.14,-0.434,-7.024,
108.9800,339.84,-41.35,-1.311,93.2,-2.41,61.6,-5.99,-5.90,-10.66,-0.481,-6.997,
108.9900,339.86,-41.38,-1.377,92.9,-0.85,62.1,-3.31,-5.14,-9.14,-0.434,-6.979,
109.0000,339.40,-41.05,-1.322,92.4,-2.41,61.6,-6.00,-5.91,-10.67,-0.481,-6.935,
109.0100,338.89,-40.44,-1.382,92.8,-0.84,62.4,-3.30,-5.13,-9.13,-0.434,-6.918,
109.0200,338.60,-40.22,-1.334,92.5,-2.41,62.0,-6.00,-5.90,-10.67,-0.482,-6.902,
109.0300,338.01,-40.01,-1.388,93.2,-0.84,62.6,-3.29,-5.14,-9.13,-0.435,-6.879,
109.0400,337.24,-39.95,-1.333,92.4,-2.42,62.0,-6.00,-5.91,-10.68,-0.482,-6.851,
109.0500,336.95,-39.55,-1.398,92.7,-0.85,62.2,-3.31,-5.15,-9.14,-0.434,-6.841,
109.0600,336.18,-39.15,-1.343,92.5,-2.41,61.8,-5.97,-5.90,-10.65,-0.480,-6.824,
109.0700,335.61,-39.00,-1.403,92.9,-0.87,62.2,-3.35,-5.16,-9.16,-0.435,-6.813,
109.0800,335.19,-38.76,-1.342,93.1,-2.40,61.8,-5.95,-5.90,-10.64,-0.480,-6.796,
109.0900,334.74,-38.91,-1.411,93.0,-0.85,62.2,-3.32,-5.15,-9.14,-0.434,-6.789,
109.1000,334.28,-38.97,-1.351,93.2,-2.40,61.8,-5.98,-5.91,-10.65,-0.480,-6.766,
109.1100,333.82,-38.57,-1.410,92.7,-0.86,62.2,-3.34,-5.16,-9.16,-0.435,-6.751,
109.1200,333.29,-38.30,-1.359,92.8,-2.40,61.7,-5.95,-5.89,-10.64,-0.481,-6.728,
109.1300,332.90,-37.75,-1.423,92.9,-0.86,62.1,-3.32,-5.15,-9.14,-0.436,-6.706,
109.1400,332.39,-37.84,-1.371,92.6,-2.40,61.5,-5.97,-5.90,-10.64,-0.482,-6.687,
109.1500,331.64,-37.69,-1.432,93.2,-0.85,62.0,-3.32,-5.15,-9.16,-0.434,-6.659,
109.1600,331.37,-37.69,-1.378,92.7,-2.39,61.4,-5.94,-5.89,-10.63,-0.480,-6.632,
109.1700,330.67,-37.48,-1.436,93.0,-0.88,62.0,-3.38,-5.17,-9.19,-0.435,-6.597,
109.1800,330.16,-37.17,-1.377,92.7,-2.38,61.8,-5.94,-5.89,-10.63,-0.480,-6.559,
109.1900,329.70,-37.14,-1.450,93.1,-0.87,62.3,-3.37,-5.16,-9.17,-0.434,-6.544,
109.2000,329.11,-36.80,-1.408,93.0,-2.38,61.9,-5.93,-5.89,-10.62,-0.480,-6.510,
109.2100,328.64,-37.02,-1.463,93.1,-0.88,62.4,-3.36,-5.16,-9.18,-0.434,-6.484,
109.2200,328.27,-36.77,-1.400,92.4,-2.38,61.9,-5.93,-5.89,-10.63,-0.481,-6.455,
109.2300,327.61,-36.59,-1.469,92.8,-0.87,62.4,-3.36,-5.17,-9.19,-0.435,-6.435,
109.2400,327.04,-36.04,-1.404,92.8,-2.39,61.9,-5.94,-5.88,-10.63,-0.481,-6.410,
109.2500,326.46,-35.80,-1.482,93.0,-0.87,62.4,-3.36,-5.17,-9.18,-0.435,-6.380,
109.2600,325.95,-35.52,-1.417,92.8,-2.39,61.9,-5.94,-5.89,-10.63,-0.480,-6.359,
109.2700,325.52,-35.46,-1.485,92.7,-0.87,62.5,-3.37,-5.17,-9.19,-0.436,-6.327,
109.2800,325.05,-35.28,-1.425,92.8,-2.37,62.1,-5.89,-5.88,-10.60,-0.480,-6.307,
109.2900,324.55,-34.70,-1.491,93.1,-0.89,62.5,-3.40,-5.18,-9.21,-0.435,-6.280,
109.3000,323.88,-34.48,-1.432,92.5,-2.38,62.0,-5.92,-5.89,-10.64,-0.480,-6.250,
109.3100,323.42,-34.18,-1.507,93.0,-0.88,61.9,-3.38,-5.17,-9.19,-0.435,-6.226,
109.3200,323.07,-34.21,-1.439,92.6,-2.39,61.4,-5.94,-5.88,-10.63,-0.480,-6.205,
109.3300,322.30,-33.78,-1.519,93.2,-0.87,62.0,-3.37,-5.17,-9.18,-0.436,-6.149,
109.3400,321.86,-33.48,-1.451,92.7,-2.38,61.5,-5.93,-5.88,-10.61,-0.480,-6.126,
109.3500,321.30,-33.23,-1.512,92.9,-0.87,62.0,-3.37,-5.17,-9.19,-0.435,-6.113,
109.3600,320.75,-33.11,-1.461,92.7,-2.39,61.4,-5.90,-5.88,-10.60,-0.481,-6.090,
109.3700,320.31,-32.87,-1.510,93.0,-0.87,61.9,-3.36,-5.18,-9.21,-0.435,-6.070,
109.3800,319.74,-32.75,-1.466,92.8,-2.37,61.4,-5.90,-5.87,-10.58,-0.479,-6.053,
109.3900,319.12,-32.65,-1.539,92.6,-0.89,62.1,-3.42,-5.19,-9.21,-0.436,-6.030,
109.4000,318.53,-32.29,-1.474,92.4,-2.37,61.7,-5.91,-5.87,-10.59,-0.481,-6.015,
109.4100,318.02,-32.29,-1.546,93.1,-0.88,62.3,-3.38,-5.17,-9.21,-0.438,-6.000,
109.4200,317.36,-32.20,-1.477,92.9,-2.36,61.8,-5.89,-5.87,-10.60,-0.481,-5.962,
109.4300,316.70,-32.26,-1.552,92.7,-0.89,62.2,-3.41,-5.18,-9.22,-0.436,-5.944,
109.4400,316.35,-32.14,-1.487,92.9,-2.37,62.0,-5.89,-5.87,-10.59,-0.480,-5.923,
109.4500,316.04,-31.83,-1.556,92.9,-0.89,62.5,-3.42,-5.19,-9.22,-0.436,-5.898,
109.4600,315.66,-31.59,-1.492,92.7,-2.36,62.0,-5.89,-5.87,-10.58,-0.480,-5.880,
109.4700,315.18,-31.13,-1.578,92.9,-0.93,62.4,-3.44,-5.19,-9.23,-0.437,-5.851,
109.4800,314.65,-30.88,-1.504,92.7,-2.38,62.0,-5.89,-5.88,-10.60,-0.481,-5.831,
109.4900,313.99,-30.64,-1.583,93.0,-0.88,62.5,-3.39,-5.18,-9.23,-0.438,-5.802,
109.5000,313.49,-30.18,-1.511,92.7,-2.36,62.1,-5.88,-5.88,-10.60,-0.481,-5.774,
109.5100,312.98,-29.39,-1.588,93.1,-0.90,62.5,-3.43,-5.20,-9.23,-0.438,-5.755,
109.5200,312.16,-28.99,-1.519,92.6,-2.36,62.0,-5.86,-5.86,-10.57,-0.481,-5.731,
109.5300,311.76,-28.96,-1.596,92.9,-0.89,62.1,-3.39,-5.20,-9.23,-0.438,-5.714,
109.5400,311.17,-28.99,-1.525,92.1,-2.37,61.6,-5.87,-5.86,-10.58,-0.480,-5.705,
109.5500,310.60,-28.75,-1.605,92.7,-0.90,62.1,-3.44,-5.20,-9.25,-0.437,-5.684,
109.5600,310.24,-28.38,-1.525,92.5,-2.36,61.7,-5.86,-5.86,-10.57,-0.480,-5.676,
109.5700,309.69,-28.08,-1.607,93.2,-0.89,62.3,-3.44,-5.21,-9.25,-0.436,-5.654,
109.5800,309.08,-27.89,-1.535,92.4,-2.35,61.8,-5.86,-5.86,-10.57,-0.480,-5.627,
109.5900,308.46,-27.62,-1.621,92.9,-0.90,62.2,-3.46,-5.21,-9.25,-0.438,-5.616,
109.6000,308.20,-27.92,-1.541,92.5,-2.35,61.8,-5.83,-5.86,-10.56,-0.481,-5.592,
109.6100,307.47,-27.86,-1.625,93.0,-0.91,62.2,-3.46,-5.21,-9.26,-0.438,-5.569,
109.6200,306.92,-27.62,-1.550,92.8,-2.35,61.8,-5.83,-5.85,-10.55,-0.480,-5.552,
109.6300,306.32,-27.19,-1.636,92.9,-0.91,62.2,-3.45,-5.21,-9.27,-0.439,-5.530,
109.6400,305.77,-27.01,-1.556,93.2,-2.35,61.8,-5.84,-5.85,-10.55,-0.480,-5.509,
109.6500,305.13,-27.40,-1.641,92.4,-0.90,62.6,-3.46,-5.21,-9.26,-0.438,-5.479,
109.6600,304.61,-27.44,-1.560,93.0,-2.34,62.2,-5.83,-5.85,-10.55,-0.480,-5.473,
109.6700,304.17,-27.53,-1.646,92.1,-0.91,62.6,-3.48,-5.22,-9.28,-0.438,-5.424,
109.6800,303.53,-27.04,-1.569,92.5,-2.35,62.2,-5.78,-5.85,-10.55,-0.480,-5.407,
109.6900,302.97,-26.70,-1.656,92.7,-0.91,62.6,-3.47,-5.22,-9.27,-0.438,-5.385,
109.7000,302.45,-26.28,-1.576,93.2,-2.36,62.2,-5.85,-5.86,-10.55,-0.481,-5.356,
109.7100,301.74,-26.25,-1.661,92.9,-0.90,62.7,-3.45,-5.21,-9.26,-0.438,-5.332,
109.7200,301.15,-26.03,-1.576,92.8,-2.34,62.2,-5.83,-5.85,-10.54,-0.481,-5.306,
109.7300,300.70,-25.97,-1.673,93.0,-0.91,62.6,-3.46,-5.21,-9.27,-0.439,-5.266,
109.7400,300.04,-25.67,-1.594,93.5,-2.34,61.8,-5.81,-5.85,-10.54,-0.480,-5.245,
109.7500,299.41,-25.24,-1.687,92.7,-0.93,62.2,-3.48,-5.22,-9.29,-0.440,-5.206,
109.7600,299.01,-24.93,-1.614,92.3,-2.34,61.8,-5.79,-5.85,-10.55,-0.480,-5.176,
109.7700,298.41,-24.60,-1.703,92.6,-0.93,62.1,-3.50,-5.23,-9.29,-0.441,-5.140,
109.7800,297.80,-24.63,-1.619,93.0,-2.34,61.6,-5.82,-5.85,-10.52,-0.481,-5.112,
109.7900,297.29,-24.48,-1.709,93.0,-0.91,62.1,-3.49,-5.22,-9.29,-0.439,-5.078,
109.8000,296.50,-24.14,-1.631,92.9,-2.32,61.7,-5.79,-5.84,-10.53,-0.481,-5.036,
109.8100,295.88,-23.90,-1.720,92.6,-0.94,62.0,-3.50,-5.23,-9.29,-0.439,-5.014,
109.8200,295.40,-23.65,-1.641,93.2,-2.34,61.7,-5.81,-5.85,-10.54,-0.481,-4.976,
109.8300,294.78,-23.56,-1.742,92.8,-0.93,62.1,-3.47,-5.22,-9.27,-0.438,-4.952,
109.8400,294.18,-23.74,-1.644,93.0,-2.33,61.7,-5.81,-5.84,-10.51,-0.480,-4.922,
109.8500,293.68,-23.47,-1.743,92.7,-0.93,62.1,-3.50,-5.22,-9.29,-0.439,-4.893,
109.8600,293.08,-23.22,-1.667,92.5,-2.32,61.6,-5.79,-5.83,-10.53,-0.480,-4.871,
109.8700,292.33,-23.16,-1.755,93.1,-0.92,62.4,-3.49,-5.22,-9.30,-0.439,-4.843,
109.8800,291.85,-22.98,-1.674,92.7,-2.32,62.2,-5.79,-5.85,-10.53,-0.481,-4.805,
109.8900,291.23,-22.74,-1.766,92.9,-0.92,62.5,-3.49,-5.22,-9.29,-0.440,-4.790,
109.9000,290.97,-22.74,-1.672,93.0,-2.32,62.0,-5.76,-5.83,-10.50,-0.480,-4.754,
109.9100,290.33,-22.19,-1.770,93.0,-0.94,62.3,-3.51,-5.23,-9.30,-0.439,-4.737,
109.9200,289.84,-21.88,-1.689,93.5,-2.33,61.9,-5.80,-5.83,-10.52,-0.480,-4.703,
109.9300,289.05,-21.42,-1.783,92.7,-0.94,62.3,-3.51,-5.22,-9.30,-0.439,-4.679,
109.9400,288.70,-21.24,-1.694,92.6,-2.33,61.9,-5.79,-5.83,-10.52,-0.481,-4.651,
109.9500,288.12,-20.94,-1.794,92.7,-0.93,62.3,-3.51,-5.23,-9.31,-0.439,-4.624,
109.9600,287.48,-20.51,-1.704,93.1,-2.32,61.9,-5.75,-5.81,-10.49,-0.480,-4.609,
109.9700,286.82,-20.05,-1.797,93.1,-0.92,62.5,-3.53,-5.23,-9.32,-0.440,-4.577,
109.9800,286.32,-19.62,-1.709,92.4,-2.32,61.9,-5.76,-5.82,-10.49,-0.480,-4.555,
109.9900,285.66,-19.47,-1.798,93.2,-0.94,62.0,-3.53,-5.23,-9.32,-0.441,-4.549,
110.0000,285.02,-19.26,-1.716,92.4,-2.34,61.5,-5.78,-5.83,-10.50,-0.481,-4.523,
110.0100,284.38,-19.13,-1.820,92.8,-0.94,61.9,-3.51,-5.23,-9.34,-0.440,-4.504,
110.0200,283.70,-18.74,-1.719,92.5,-2.32,61.5,-5.76,-5.82,-10.49,-0.480,-4.481,
110.0300,283.37,-18.68,-1.817,93.0,-0.95,61.9,-3.54,-5.23,-9.30,-0.439,-4.470,
110.0400,282.79,-18.34,-1.721,92.7,-2.31,61.9,-5.77,-5.82,-10.51,-0.480,-4.457,
110.0500,282.11,-18.22,-1.827,92.7,-0.94,62.3,-3.52,-5.22,-9.31,-0.441,-4.432,
110.0600,281.58,-18.25,-1.740,93.5,-2.31,62.0,-5.76,-5.83,-10.50,-0.481,-4.410,
110.0700,281.01,-18.16,-1.835,92.5,-0.96,62.3,-3.57,-5.25,-9.35,-0.441,-4.391,
110.0800,280.28,-17.94,-1.738,92.8,-2.31,61.9,-5.73,-5.81,-10.46,-0.480,-4.378,
110.0900,279.77,-17.67,-1.848,92.3,-0.96,62.4,-3.57,-5.24,-9.35,-0.441,-4.353,
110.1000,279.14,-17.76,-1.747,92.6,-2.30,61.9,-5.70,-5.80,-10.48,-0.480,-4.331,
110.1100,278.45,-17.61,-1.852,93.1,-0.95,62.4,-3.57,-5.24,-9.35,-0.440,-4.310,
110.1200,277.77,-17.52,-1.750,93.1,-2.32,62.0,-5.75,-5.81,-10.49,-0.481,-4.301,
110.1300,277.39,-17.70,-1.855,92.7,-0.94,62.5,-3.55,-5.24,-9.34,-0.440,-4.276,
110.1400,276.71,-17.64,-1.764,92.8,-2.31,62.0,-5.73,-5.80,-10.48,-0.480,-4.244,
